"C","Time"
0,0
76.1935607801539,1
67.5932402726853,2
59.9634269298139,3
53.1948543167738,4
47.1903070032154,5
41.8635430749833,6
37.1380554627789,7
32.9459730889487,8
29.2270860510076,9
25.9279808408373,10
23.0012731789131,11
20.4049274449364,12
18.1016529300138,13
16.0583682388927,14
14.2457261495888,15
12.6376921060736,16
11.2111702900119,17
9.9456719009034,18
8.82302088021488,19
7.82709285288577,20
6.94358353668584,21
6.15980329314208,22
5.46449486921767,23
4.84767171200924,24
4.30047453421418,25
3.81504407025106,26
3.38440819545913,27
3.00238178709615,28
2.66347788886138,29
2.36282890302063,30
2.09611667823393,31
1.85951048895397,32
1.64961201560743,33
1.46340653532274,34
1.29821962216777,35
1.15167873499331,36
1.02167914117722,37
0.906353686840187,38
0.804045979349504,39
0.71328659693762,40
0.63277198373962,41
0.56134572712403,42
0.497981948407613,43
0.44177056839884,44
0.391904236142489,45
0.34766673312597,46
0.308422686399689,47
0.273608442863397,48
0.24272397364803,49
0.215325692317557,50
0.191020083740342,51
0.169458052122989,52
0.150329907028791,53
0.133360915366141,54
0.118307355461138,55
0.10495301653997,56
0.093106093343938,57
0.0825964312752146,58
0.0732730825059951,59
