Weight,Dosage,Cmax_2,C_7_2,Prediction
4,67.5,417.0727321,85.95918654,Our
5,67.5,333.6581857,68.76734923,Our
6,67.5,278.0484881,57.30612436,Our
7,67.5,238.3272755,49.11953517,Our
8,67.5,208.5363661,42.97959327,Our
9,135,370.7313175,76.40816581,Our
10,135,333.6581857,68.76734923,Our
11,135,303.3256234,62.51577203,Our
12,135,278.0484881,57.30612436,Our
13,135,256.6601429,52.89796095,Our
14,135,238.3272755,49.11953517,Our
15,135,222.4387905,45.84489949,Our
16,135,208.5363661,42.97959327,Our
17,135,196.269521,40.4513819,Our
18,270,370.7313175,76.40816581,Our
19,270,351.2191429,72.3866834,Our
20,270,333.6581857,68.76734923,Our
21,270,317.7697007,65.49271355,Our
22,270,303.3256234,62.51577203,Our
23,270,290.1375528,59.79769498,Our
24,270,278.0484881,57.30612436,Our
25,270,266.9265486,55.01387938,Our
26,270,256.6601429,52.89796095,Our
27,270,247.1542116,50.93877721,Our
28,270,238.3272755,49.11953517,Our
29,270,230.1090936,47.42575809,Our
30,270,222.4387905,45.84489949,Our
31,270,215.2633456,44.36603176,Our
32,270,208.5363661,42.97959327,Our
33,270,202.2170823,41.67718135,Our
34,270,196.269521,40.4513819,Our
35,270,190.6618204,39.29562813,Our
36,540,370.7313175,76.40816581,Our
37,540,360.7115521,74.34308025,Our
38,540,351.2191429,72.3866834,Our
39,540,342.2135238,70.5306146,Our
40,540,333.6581857,68.76734923,Our
41,540,325.5201812,67.09009681,Our
42,540,317.7697007,65.49271355,Our
43,540,310.3797076,63.96962719,Our
44,540,303.3256234,62.51577203,Our
45,540,296.585054,61.12653265,Our
46,540,290.1375528,59.79769498,Our
47,540,283.9644134,58.5254036,Our
48,540,278.0484881,57.30612436,Our
49,540,272.3740292,56.13661162,Our
50,540,266.9265486,55.01387938,Our
51,540,261.6926947,53.93517587,Our
52,540,256.6601429,52.89796095,Our
53,540,251.8174987,51.89988621,Our
54,540,247.1542116,50.93877721,Our
55,540,242.6604987,50.01261762,Our
56,540,238.3272755,49.11953517,Our
57,540,234.1460952,48.25778893,Our
58,540,230.1090936,47.42575809,Our
59,540,226.2089395,46.62193168,Our
60,540,222.4387905,45.84489949,Our
61,540,218.7922529,45.09334376,Our
62,540,215.2633456,44.36603176,Our
63,540,211.8464671,43.66180904,Our
64,540,208.5363661,42.97959327,Our
65,540,205.3281143,42.31836876,Our
66,540,202.2170823,41.67718135,Our
67,540,199.1989168,41.05513387,Our
68,540,196.269521,40.4513819,Our
69,540,193.4250352,39.86512999,Our
70,540,190.6618204,39.29562813,Our
71,540,187.9764427,38.74216858,Our
72,540,185.3656587,38.20408291,Our
73,540,182.8264031,37.6807393,Our
74,540,180.3557761,37.17154012,Our
75,540,177.9510324,36.67591959,Our
76,540,175.6095714,36.1933417,Our
77,540,173.3289276,35.7232983,Our
78,540,171.1067619,35.2653073,Our
79,540,168.9408535,34.818911,Our
80,540,166.8290929,34.38367462,Our
4,67.5,340.7534247,88.39285714,Original
5,67.5,287.6712329,79.46428571,Original
6,67.5,253.4246575,68.1547619,Original
7,67.5,224.3150685,57.44047619,Original
8,67.5,202.0547945,47.61904762,Original
9,135,364.7260274,85.41666667,Original
10,135,337.3287671,73.51190476,Original
11,135,311.6438356,65.17857143,Original
12,135,294.5205479,58.92857143,Original
13,135,270.5479452,54.16666667,Original
14,135,256.8493151,51.48809524,Original
15,135,239.7260274,47.02380952,Original
16,135,226.0273973,44.94047619,Original
17,135,214.0410959,41.66666667,Original
18,270,410.9589041,81.25,Original
19,270,395.5479452,74.10714286,Original
20,270,380.1369863,69.64285714,Original
21,270,359.5890411,66.96428571,Original
22,270,349.3150685,64.58333333,Original
23,270,337.3287671,64.58333333,Original
24,270,325.3424658,63.98809524,Original
25,270,313.3561644,59.52380952,Original
26,270,301.369863,58.03571429,Original
27,270,298,56.8452381,Original
28,270,296.2328767,54.76190476,Original
29,270,282.5342466,52.97619048,Original
30,270,272.260274,51.19047619,Original
31,270,265.4109589,49.70238095,Original
32,270,258.5616438,49.10714286,Original
33,270,253.4246575,48.51190476,Original
34,270,239.7260274,45.53571429,Original
35,270,236.3013699,45.83333333,Original
36,540,231.1643836,44.3452381,Original
37,540,455.4794521,88.0952381,Original
38,540,440.0684932,85.41666667,Original
39,540,424.6575342,81.54761905,Original
40,540,416.0958904,81.8452381,Original
41,540,404.109589,79.76190476,Original
42,540,398.9726027,78.27380952,Original
43,540,390.4109589,77.38095238,Original
44,540,386.9863014,76.48809524,Original
45,540,373.2876712,73.80952381,Original
46,540,366.4383562,72.32142857,Original
47,540,359.5890411,71.13095238,Original
48,540,356.1643836,70.53571429,Original
49,540,345.890411,69.04761905,Original
50,540,345.890411,68.1547619,Original
51,540,332.1917808,66.96428571,Original
52,540,325.3424658,65.77380952,Original
53,540,323.630137,63.69047619,Original
54,540,315.0684932,63.98809524,Original
55,540,308.2191781,62.20238095,Original
56,540,304.7945205,61.30952381,Original
57,540,301.369863,61.01190476,Original
58,540,296.2328767,60.41666667,Original
59,540,289.3835616,59.82142857,Original
60,540,287.6712329,59.4857,Original
61,540,285,59.22619048,Original
62,540,282.5342466,57.44047619,Original
63,540,277.3972603,57.44047619,Original
64,540,270.5479452,56.25,Original
65,540,267.1232877,55.6547619,Original
66,540,265.4109589,54.46428571,Original
67,540,256.8493151,53.86904762,Original
68,540,255.1369863,53.86904762,Original
69,540,251.7123288,53.27380952,Original
70,540,250,52.97619048,Original
71,540,243.1506849,52.67857143,Original
72,540,243.1506849,51.48809524,Original
73,540,236.3013699,50.89285714,Original
74,540,236.3013699,50.29761905,Original
75,540,238.0136986,49.70238095,Original
76,540,234.5890411,48.80952381,Original
77,540,226.0273973,47.91666667,Original
78,540,219.1780822,47.32142857,Original
79,540,215.7534247,47.02380952,Original
80,540,215.7534247,46.42857143,Original
